sale_id,date,month,quarter,territory,province,city,clinic_id,clinic_name,sales_rep,product_name,product_category,animal_segment,unit_price,quantity,discount_pct,revenue,quota,quota_attainment
S0862,2024-01-01,January,Q1,Quebec,QC,Montreal,CLN1064,Cohen Farm Supply & Vet,Marc Tremblay,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,15,0.11,3978.3,5321.19,74.8
S0308,2024-01-02,January,Q1,Ontario East,ON,Ottawa,CLN1008,Miller Animal Hospital,David Park,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,20,0.11,3115.0,3076.28,101.3
S0573,2024-01-02,January,Q1,Ontario East,ON,Belleville,CLN1006,Rhodes Veterinary Clinic,David Park,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,45,0.14,2118.82,2009.41,105.4
S0175,2024-01-04,January,Q1,Ontario West,ON,Windsor,CLN1039,Hensley Mixed Practice,James Okafor,Clomicalm 20mg,Behaviour,Companion,67.0,49,0.04,3151.68,2984.24,105.6
S0682,2024-01-04,January,Q1,Ontario West,ON,London,CLN1037,Calderon Animal Hospital,Emily Chen,Nexgard Spectra M,Parasitology,Companion,38.9,13,0.0,505.7,604.91,83.6
S0850,2024-01-04,January,Q1,Western Canada,AB,Vancouver,CLN1076,Foster Veterinary Clinic,Priya Sharma,Ingelvac PRRS MLV,Vaccines,Swine,185.0,27,0.07,4645.35,5159.73,90.0
S0009,2024-01-05,January,Q1,Ontario East,ON,Kingston,CLN1017,Robinson Veterinary Clinic,David Park,Ingelvac PRRS MLV,Vaccines,Swine,185.0,21,0.14,3341.1,4381.65,76.3
S0017,2024-01-05,January,Q1,Ontario West,ON,Windsor,CLN1034,Dudley Animal Hospital,James Okafor,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,29,0.08,3575.12,3598.76,99.3
S0427,2024-01-05,January,Q1,Atlantic Canada,NS,St. John's,CLN1100,Valencia Animal Hospital,Connor MacDonald,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,44,0.02,7546.0,8061.43,93.6
S0705,2024-01-05,January,Q1,Western Canada,AB,Saskatoon,CLN1087,Bright Veterinary Clinic,Ryan Nakamura,Nexgard Spectra L,Parasitology,Companion,44.5,27,0.14,1033.29,1095.19,94.3
S0298,2024-01-06,January,Q1,Ontario West,ON,Kitchener,CLN1031,Roman Farm Supply & Vet,Emily Chen,Nexgard Spectra M,Parasitology,Companion,38.9,22,0.05,813.01,962.38,84.5
S0588,2024-01-06,January,Q1,Western Canada,AB,Saskatoon,CLN1083,Richards Animal Hospital,Priya Sharma,Clomicalm 20mg,Behaviour,Companion,67.0,36,0.13,2098.44,2345.53,89.5
S0657,2024-01-06,January,Q1,Ontario East,ON,Toronto,CLN1018,Lawrence Livestock Practice,David Park,Zactran 150mg/mL,Antibiotics,Cattle,320.0,33,0.01,10454.4,10123.2,103.3
S0795,2024-01-06,January,Q1,Quebec,QC,Sherbrooke,CLN1054,Zuniga Veterinary Clinic,Marc Tremblay,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,48,0.1,2365.2,2628.64,90.0
S0921,2024-01-06,January,Q1,Western Canada,AB,Vancouver,CLN1082,Baker Farm Supply & Vet,Priya Sharma,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,4,0.14,1025.12,1097.92,93.4
S0449,2024-01-07,January,Q1,Western Canada,AB,Calgary,CLN1093,Conner Veterinary Clinic,Ryan Nakamura,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,48,0.08,2417.76,1877.2,128.8
S0715,2024-01-07,January,Q1,Quebec,QC,Sherbrooke,CLN1059,Martin Mixed Practice,Marc Tremblay,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,34,0.07,4237.08,4929.95,85.9
S0776,2024-01-07,January,Q1,Quebec,QC,Laval,CLN1063,Hawkins Farm Supply & Vet,Isabelle Roy,Vetmedin 5mg,Cardiology,Companion,89.5,24,0.03,2083.56,2460.07,84.7
S0294,2024-01-08,January,Q1,Ontario West,ON,Kitchener,CLN1043,Perez Farm Supply & Vet,James Okafor,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,30,0.1,3618.0,4273.43,84.7
S0329,2024-01-08,January,Q1,Quebec,QC,Montreal,CLN1072,Hahn Mixed Practice,Marc Tremblay,Ingelvac PRRS MLV,Vaccines,Swine,185.0,14,0.13,2253.3,2140.14,105.3
